1,0,0,0.2
0,1,2,0.4
3,1,2,0.4
0,3,0,0.25
0,2,2,0.2653061224489796
3,2,2,0.2653061224489796
0,0,2,0.21666666666666667
2,1,1,0.4
0,0,0,0.2
3,0,1,0.2087912087912088
1,2,0,0.28
0,3,1,0.25
2,1,2,0.4
1,1,0,0.4
3,3,0,0.25
3,0,2,0.21666666666666667
0,3,2,0.25
1,2,2,0.2653061224489796
2,2,1,0.2653061224489796
0,2,0,0.28
1,1,2,0.4
3,1,0,0.4
1,3,0,0.25
2,3,1,0.25
1,2,1,0.2653061224489796
3,0,0,0.2
3,1,1,0.4
1,1,1,0.4
3,3,1,0.25
2,1,0,0.4
2,0,2,0.21666666666666667
1,0,2,0.21666666666666667
2,0,0,0.2
2,2,0,0.28
0,0,1,0.2087912087912088
3,3,2,0.25
1,0,1,0.2087912087912088
3,2,0,0.28
2,3,0,0.25
1,3,2,0.25
2,2,2,0.2653061224489796
0,1,0,0.4
0,2,1,0.2653061224489796
0,1,1,0.4
2,3,2,0.25
1,3,1,0.25
2,0,1,0.2087912087912088
3,2,1,0.2653061224489796
