3,2,3,2,2,0.08333333333333333
0,3,1,1,1,0.3333333333333333
3,2,2,1,2,0.08333333333333333
0,1,1,1,2,0.4
0,3,2,0,0,1.0
1,3,0,2,1,0.16666666666666666
1,0,2,2,2,0.5
0,2,0,1,0,1.0
0,3,0,0,2,1.0
0,2,2,0,2,1.0
2,2,3,2,1,0.16666666666666666
1,2,3,2,1,0.16666666666666666
0,1,0,0,1,1.0
1,2,3,1,1,0.08333333333333333
0,3,1,1,0,1.0
1,1,1,2,2,0.4
0,1,1,1,0,1.0
1,2,3,2,2,0.08333333333333333
0,3,2,2,0,1.0
2,2,3,1,1,0.08333333333333333
1,2,2,2,1,0.16666666666666666
0,0,1,2,0,1.0
2,3,1,1,2,0.16666666666666666
0,1,0,0,2,1.0
3,3,1,2,2,0.16666666666666666
0,2,0,2,0,1.0
2,3,0,2,1,0.16666666666666666
1,2,0,2,1,0.08333333333333333
1,0,0,1,1,0.7619047619047619
0,0,3,1,1,0.8571428571428571
0,1,2,2,0,1.0
2,2,2,2,1,0.16666666666666666
2,3,2,2,2,0.16666666666666666
0,2,3,0,0,1.0
0,1,3,2,1,0.6
3,3,0,2,2,0.16666666666666666
0,3,2,0,2,1.0
1,1,1,1,1,0.6
1,2,3,1,2,0.16666666666666666
2,2,1,1,2,0.08333333333333333
0,0,2,2,1,0.6666666666666666
2,2,0,2,1,0.08333333333333333
0,0,3,0,1,0.8947368421052632
2,2,3,2,2,0.08333333333333333
0,1,2,1,1,0.6
0,0,3,0,2,0.8947368421052632
0,0,1,2,2,0.5
0,0,0,2,1,0.7619047619047619
0,1,2,1,2,0.4
0,3,0,0,1,1.0
0,3,2,1,1,0.3333333333333333
0,0,0,2,2,0.6666666666666666
0,0,1,1,0,1.0
0,1,2,1,0,1.0
2,3,3,1,2,0.3333333333333333
0,0,1,1,1,0.6666666666666666
1,3,0,1,1,0.16666666666666666
0,1,0,0,0,1.0
0,0,0,0,1,0.7894736842105263
0,1,2,0,0,1.0
3,3,2,2,2,0.16666666666666666
0,1,2,0,1,1.0
1,2,1,2,2,0.08333333333333333
0,0,2,1,0,1.0
1,1,3,2,2,0.4
0,0,2,0,1,1.0
0,0,0,0,0,0.7368421052631579
1,1,0,2,1,0.8
0,3,0,2,2,0.16666666666666666
1,1,2,2,2,0.47058823529411764
1,1,3,1,2,0.4
1,2,1,1,1,0.16666666666666666
0,3,3,0,2,1.0
0,3,0,2,1,0.16666666666666666
0,0,2,2,2,0.5
1,3,1,1,2,0.16666666666666666
0,0,0,1,2,0.5714285714285714
0,0,0,2,0,0.8571428571428571
1,0,0,0,0,0.7368421052631579
0,2,3,1,1,0.08333333333333333
0,2,3,1,0,1.0
0,1,3,0,1,1.0
0,2,2,2,1,0.16666666666666666
3,2,0,2,2,0.08333333333333333
1,1,0,1,2,0.375
0,2,1,2,0,1.0
2,3,1,1,1,0.3333333333333333
0,2,1,2,1,0.16666666666666666
0,3,0,1,0,1.0
2,3,3,1,1,0.16666666666666666
1,0,3,1,2,0.5714285714285714
0,2,0,2,1,0.08333333333333333
0,3,3,1,0,1.0
0,0,1,0,1,1.0
1,0,3,1,1,0.8571428571428571
0,1,2,0,2,1.0
1,0,3,2,1,0.6666666666666666
3,2,1,2,2,0.08333333333333333
2,3,2,1,1,0.3333333333333333
1,0,3,2,2,0.5
0,2,0,0,2,1.0
0,2,1,1,1,0.16666666666666666
0,3,3,0,0,1.0
1,0,2,2,1,0.6666666666666666
0,2,2,0,0,1.0
1,0,2,1,1,0.6666666666666666
1,0,1,2,1,0.6666666666666666
2,3,1,2,2,0.16666666666666666
0,3,0,2,0,1.0
0,1,1,2,0,1.0
1,1,2,1,1,0.6
1,0,3,0,2,0.8947368421052632
1,0,1,2,2,0.5
1,3,2,2,2,0.16666666666666666
1,0,0,2,1,0.7619047619047619
1,1,2,1,2,0.4
1,3,2,1,1,0.3333333333333333
0,1,1,0,0,1.0
1,0,0,0,2,0.7894736842105263
0,2,2,2,0,1.0
2,2,1,2,1,0.16666666666666666
